Company,TypeName,Inches,Ram_GB,Weight_kg,Touchscreen,IPS,Res_X,Res_Y,PPI,SSD_GB,HDD_GB,Flash_Storage_GB,Hybrid_GB,Cpu_gama,Gpu_marca,SO,Price_euros
Apple,Ultrabook,13.3,8,1.37,0,1,2560,1600,226.98300468106115,128.0,0.0,0.0,0.0,Intel Core i5,Intel,Mac,1339.69
Apple,Ultrabook,13.3,8,1.34,0,0,1440,900,127.67794013309688,0.0,0.0,128.0,0.0,Intel Core i5,Intel,Mac,898.94
HP,Notebook,15.6,8,1.86,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Otro,575.0
Apple,Ultrabook,15.4,16,1.83,0,1,2880,1800,220.53462386625827,512.0,0.0,0.0,0.0,Intel Core i7,AMD,Mac,2537.45
Apple,Ultrabook,13.3,8,1.37,0,1,2560,1600,226.98300468106115,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Mac,1803.6
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,AMD A9-Series 9420,AMD,Windows,400.0
Apple,Ultrabook,15.4,16,2.04,0,1,2880,1800,220.53462386625827,0.0,0.0,256.0,0.0,Intel Core i7,Intel,Mac,2139.97
Apple,Ultrabook,13.3,8,1.34,0,0,1440,900,127.67794013309688,0.0,0.0,256.0,0.0,Intel Core i5,Intel,Mac,1158.7
Asus,Ultrabook,14.0,16,1.3,0,0,1920,1080,157.3505121487356,512.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1495.0
Acer,Ultrabook,14.0,8,1.6,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,770.0
HP,Notebook,15.6,4,1.86,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i5,Intel,Otro,393.9
HP,Notebook,15.6,4,1.86,0,0,1920,1080,141.21199808219862,0.0,500.0,0.0,0.0,Intel Core i3,Intel,Otro,344.99
Apple,Ultrabook,15.4,16,1.83,0,1,2880,1800,220.53462386625827,256.0,0.0,0.0,0.0,Intel Core i7,AMD,Mac,2439.97
Dell,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i3,AMD,Windows,498.9
Apple,Ultrabook,12.0,8,0.92,0,1,2304,1440,226.41554716935852,256.0,0.0,0.0,0.0,Intel Core M,Intel,Mac,1262.4
Apple,Ultrabook,13.3,8,1.37,0,1,2560,1600,226.98300468106115,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Mac,1518.55
Dell,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,AMD,Windows,745.0
Apple,Ultrabook,15.4,16,1.83,0,1,2880,1800,220.53462386625827,512.0,0.0,0.0,0.0,Intel Core i7,AMD,Mac,2858.0
Lenovo,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i3,Nvidia,Otro,499.0
Dell,Ultrabook,13.3,8,1.22,1,1,1920,1080,165.6321180513006,128.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,979.0
Asus,Netbook,11.6,2,0.98,0,0,1366,768,135.0942111925629,0.0,0.0,32.0,0.0,Otro,Intel,Windows,191.9
Lenovo,Gaming,15.6,8,2.5,0,1,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Windows,999.0
HP,Notebook,15.6,4,1.86,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Otro,AMD,Otro,258.0
Dell,2 in 1 Convertible,13.3,8,1.62,1,0,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,819.0
HP,Ultrabook,15.6,8,1.91,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,659.0
Dell,Notebook,15.6,4,2.3,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,418.64
Apple,Ultrabook,13.3,8,1.35,0,0,1440,900,127.67794013309688,0.0,0.0,128.0,0.0,Intel Core i5,Intel,Mac,1099.0
Dell,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,AMD,Windows,800.0
Dell,Ultrabook,15.6,8,1.88,0,0,1920,1080,141.21199808219862,512.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1298.0
HP,Notebook,17.3,8,2.5,0,0,1920,1080,127.33567457123111,0.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Windows,896.0
Chuwi,Notebook,15.6,4,1.89,0,0,1920,1080,141.21199808219862,0.0,0.0,64.0,0.0,Otro,Intel,Windows,244.99
Asus,Notebook,14.0,2,1.65,0,0,1366,768,111.93520355955211,0.0,0.0,32.0,0.0,Otro,AMD,Windows,199.0
HP,Notebook,17.3,4,2.71,0,0,1920,1080,127.33567457123111,0.0,500.0,0.0,0.0,Otro,AMD,Windows,439.0
Dell,Ultrabook,13.3,16,1.2,1,0,3200,1800,276.053530085501,512.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1869.0
Apple,Ultrabook,13.3,8,1.35,0,0,1440,900,127.67794013309688,0.0,0.0,256.0,0.0,Intel Core i5,Intel,Mac,998.0
Lenovo,Notebook,14.0,4,1.44,0,0,1366,768,111.93520355955211,0.0,0.0,64.0,0.0,Intel Celeron Dual,Intel,Windows,249.0
